site,lon,lat
Alcatraz,-122.42194,37.825
Alegria,-120.27738,34.46714
American Camp,-123.02222,48.45731
Anchor Point,-119.48723,33.267136
Andrew Molera,-121.86317,36.28061
Arroyo Hondo,-120.1454,34.47344
Bird Rock,-118.48763,33.45145
Boat House,-120.61167,34.55388
Bob Creek,-124.11443,44.24456
Bodega,-123.07365,38.3182
Bodega Head,-123.0824,38.3104
Bolinas Point,-122.72721,37.90354
Boy Scout Camp,-118.54832,33.00112
Burnt Hill,-124.38786,42.22814
Cabrillo I,-117.2455,32.66947
Cabrillo II,-117.24526,32.66766
Cabrillo III,-117.24417,32.66583
Cape Arago,-124.40077,43.30894
Cape Mendocino,-124.36317,40.341
Cardiff Reef,-117.27867,32.99984
Carpinteria,-119.51407,34.38703
Cat Rock,-119.41925,34.00557
Cayucos,-120.94982,35.44739
China Rocks,-121.95939,36.60616
Coal Oil Point,-119.87804,34.40693
Cosign,-119.57676,33.274464
Crook Point,-120.37887,34.02159
Crystal Cove,-117.83773,33.57078
Cuyler Harbor,-120.33642,34.04855
Damnation Creek,-124.12784,41.65249
Dana Point,-117.71475,33.4599
Davenport Landing,-122.21538,37.02208
Diablo,-120.87428,35.22691
East Point,-119.96797,33.9427
Ecola,-123.98031,45.91809
Eel Point,-118.54668,32.91801
Enderts,-124.14257,41.69
English Camp,-123.1555,48.59344
False Klamath Cove,-124.10643,41.59476
Fogarty Creek,-124.05875,44.83864
Ford Point,-120.05024,33.91453
Fossil Reef,-120.23758,33.99315
Fraser Cove,-119.91915,34.06265
Freshwater Bay,-123.63699,48.150494
Garrapata,-121.93444,36.46904
Government Point,-120.45655,34.44334
Harris Point,-120.36322,34.07337
Hat Island East,-122.54353,48.52221
Hat Island West,-122.55222,48.52353
Hazards,-120.88325,35.28966
Hopkins,-121.9073,36.6212
Horse Beach Cove,-118.42431,32.803
Johnsons Lee,-120.08629,33.90872
Kibesillah Hill,-123.78887,39.60412
Kydikabbit Point,-124.65372,48.39147
Landing Cove,-119.02958,33.48158
Little Harbor,-118.4752,33.38499
Manchester State Park; Central Puget Sound,-122.54411,47.57688
Marker Poles,-119.49562,33.21868
McDonald Cove; Hood Canal,-122.95034,47.628418
Middle East,-119.39577,34.0058
Middle West,-119.39649,34.0059
Mill Creek,-121.49034,35.97965
Moat Creek,-123.67475,38.88091
Mussel Shoals,-119.44073,34.35548
Natural Bridges,-122.06107,36.94915
Navy North,-117.25327,32.6926
Navy South,-117.24956,32.68288
North Jenner Beach,-123.14244,38.45618
NW Talcott,-120.2176,34.00957
Occulto,-120.63954,34.88122
Old Stairs,-118.99779,34.06612
Orizaba Cove,-119.72188,34.04508
Otter Harbor,-120.40758,34.05203
Paradise Cove,-118.79225,34.01201
Piedras Blancas,-121.28699,35.66493
Pirates Cove,-135.37755,56.98661
Point Bonita,-122.52935,37.81911
Point Fermin,-118.28599,33.70679
Point Grenville,-124.27531,47.30255
Point Lobos,-121.94688,36.51366
Point of the Arches,-124.70779,48.242
Point Pinos,-121.93758,36.63796
Point Sierra Nevada,-121.31866,35.72883
Post Point,-122.51913,48.712
Prisoners Harbor,-119.6867,34.02038
S Frenchys Cove,-119.41077,34.0066
Saddlebag North Cove,-122.5547,48.5371
Saddlebag South East,-122.5549,48.5343
Sage Rock,-135.32314,57.0487
San Simeon Point,-121.19562,35.63455
Sandhill Bluff,-122.15503,36.98017
Santa Maria Creek,-122.84915,38.01243
Saunders Reef,-123.65361,38.86138
Scorpion Rock,-119.54685,34.04552
Scott Creek,-122.23493,37.04425
Scripps Reef,-117.25328,32.87165
Sea Lion Rookery,-119.03066,33.47201
Sea Ranch,-123.48864,38.7305
Shaws Cove,-117.79941,33.54477
Shell Beach,-120.69668,35.16881
Shelter Cove,-124.07366,40.02254
Slide Ranch,-122.60094,37.87406
Sokol Point; Chilean Memorial,-124.66229,47.94709
Stairs,-120.61546,34.73038
Starfish Point,-124.3905,47.6527
Stillwater,-121.94053,36.56087
Taylor Point,-124.57004,47.86602
Terrace Point,-122.06457,36.94841
Thousand Springs,-119.52983,33.28505
Trailer,-119.9032,34.05187
Treasure Island,-117.75793,33.51335
Vista del Mar,-121.14232,35.60414
West Cove,-118.60613,33.01477
White Point,-118.31961,33.71539
Wilder Ranch,-122.10383,36.94915
Willows Anchorage,-119.75495,33.96183
