sp,sp_method,n
DERIMB,BT,9
DERIMB,IP,39
EVATRO,IP,27
HENSPP,BT,34
HENSPP,IP,110
KATTUN,IP,220
LEPTAS,BT,37
LEPTAS,IP,82
PATMIN,BT,15
PATMIN,IP,96
PISBRE,BT,10
PISBRE,IP,31
PISGIG,IP,53
PISOCH,BT,55
PISOCH,IP,310
PYCHEL,IP,52
UNIDEN,BT,2
