site,date,pct_cover
Cat Rock,2003-01-28,13
Cat Rock,2003-05-21,15.555555555555555
Cat Rock,2004-01-20,13.11111111111111
Cat Rock,2005-01-24,21.11111111111111
Cat Rock,2005-06-24,19.77777777777778
Cat Rock,2005-12-11,41.666666666666664
Cat Rock,2006-11-20,54.44444444444444
Cat Rock,2007-12-21,48.22222222222222
Cat Rock,2008-03-05,47.77777777777778
Cat Rock,2008-11-11,45.55555555555556
Cat Rock,2009-11-30,24.555555555555557
Cat Rock,2010-03-11,28.333333333333332
Cat Rock,2010-11-04,40.22222222222222
Cat Rock,2011-12-21,27.88888888888889
Cat Rock,2012-11-26,25.88888888888889
Cat Rock,2013-05-04,28
Cat Rock,2013-12-16,26.666666666666668
Cat Rock,2014-11-04,28.666666666666668
Cat Rock,2015-11-11,30.4
Cuyler Harbor,2002-12-31,46.4
Cuyler Harbor,2003-04-13,43.4
Cuyler Harbor,2004-01-08,37.8
Cuyler Harbor,2004-05-07,39
Cuyler Harbor,2005-01-24,50.4
Cuyler Harbor,2005-04-28,44
Cuyler Harbor,2006-01-28,40.4
Cuyler Harbor,2007-01-16,46.4
Cuyler Harbor,2007-05-21,39.8
Cuyler Harbor,2008-01-18,43.6
Cuyler Harbor,2008-05-07,44.6
Cuyler Harbor,2009-01-20,28.2
Cuyler Harbor,2009-04-06,27.4
Cuyler Harbor,2009-11-16,29.8
Cuyler Harbor,2010-04-18,27.4
Cuyler Harbor,2010-12-07,36.4
Cuyler Harbor,2011-12-10,43.6
Cuyler Harbor,2012-03-14,37
Cuyler Harbor,2013-01-11,45.4
Cuyler Harbor,2013-03-11,42.2
Cuyler Harbor,2014-01-17,62.4
Cuyler Harbor,2014-03-27,59
Cuyler Harbor,2014-12-03,47.4
Fraser Cove,2002-11-03,56
Fraser Cove,2003-03-26,35.8
Fraser Cove,2003-12-08,28.8
Fraser Cove,2004-03-31,24.8
Fraser Cove,2004-11-12,40
Fraser Cove,2005-03-08,19.2
Fraser Cove,2005-10-15,33.6
Fraser Cove,2006-12-19,51.8
Fraser Cove,2007-03-26,40.4
Fraser Cove,2008-03-20,27
Fraser Cove,2008-12-11,25.4
Fraser Cove,2009-04-28,35.4
Fraser Cove,2009-11-03,40.2
Fraser Cove,2010-03-24,51.4
Fraser Cove,2010-11-19,69.4
Fraser Cove,2012-01-09,45
Fraser Cove,2012-05-10,18.2
Fraser Cove,2012-12-11,24.4
Fraser Cove,2013-03-25,22.6
Fraser Cove,2013-11-02,39.4
Fraser Cove,2014-04-09,46.2
Fraser Cove,2014-11-21,33.4
Fraser Cove,2016-01-21,31.8
NW Talcott,2002-12-02,37.2
NW Talcott,2003-03-14,26.8
NW Talcott,2003-11-21,35.2
NW Talcott,2004-04-12,42.4
NW Talcott,2004-12-13,29.6
NW Talcott,2005-05-29,32.4
NW Talcott,2006-01-11,46.4
NW Talcott,2006-12-02,48.2
NW Talcott,2007-04-14,42.6
NW Talcott,2008-04-11,40.8
NW Talcott,2009-01-08,33.2
NW Talcott,2009-05-29,34.2
NW Talcott,2010-01-14,24
NW Talcott,2011-03-17,31
NW Talcott,2012-01-19,19.8
NW Talcott,2012-05-24,15.8
NW Talcott,2013-01-23,9.2
NW Talcott,2013-04-05,9
NW Talcott,2013-11-13,5
NW Talcott,2014-03-13,5.2
NW Talcott,2015-04-16,6.6
NW Talcott,2015-11-27,6.4
Orizaba Cove,2003-01-30,64.6
Orizaba Cove,2003-05-19,66.4
Orizaba Cove,2004-01-22,56.5
Orizaba Cove,2005-12-01,66.2
Orizaba Cove,2006-03-27,66
Orizaba Cove,2007-01-03,59.6
Orizaba Cove,2007-03-15,60
Orizaba Cove,2007-12-22,61.2
Orizaba Cove,2008-03-07,63.6
Orizaba Cove,2008-11-26,45.2
Orizaba Cove,2009-03-07,37.6
Orizaba Cove,2009-12-14,40.2
Orizaba Cove,2010-11-03,51
Orizaba Cove,2011-03-31,55
Orizaba Cove,2011-12-20,63.8
Orizaba Cove,2014-11-19,54.2
S Frenchys Cove,2003-01-27,36
S Frenchys Cove,2003-05-20,46
S Frenchys Cove,2004-01-19,25.8
S Frenchys Cove,2004-06-07,33
S Frenchys Cove,2005-01-23,45.8
S Frenchys Cove,2005-06-24,45.4
S Frenchys Cove,2005-12-14,70.2
S Frenchys Cove,2006-03-28,68.4
S Frenchys Cove,2006-11-22,61.8
S Frenchys Cove,2007-03-17,61.6
S Frenchys Cove,2007-12-21,59.6
S Frenchys Cove,2008-03-03,62.8
S Frenchys Cove,2008-11-11,35.6
S Frenchys Cove,2009-03-09,47
S Frenchys Cove,2009-12-02,29.4
S Frenchys Cove,2010-03-12,24
S Frenchys Cove,2010-11-05,20.4
S Frenchys Cove,2011-11-23,16.2
S Frenchys Cove,2012-04-23,12.6
S Frenchys Cove,2012-11-25,10.2
S Frenchys Cove,2013-05-04,8.4
S Frenchys Cove,2013-12-16,20.4
S Frenchys Cove,2014-05-20,17.6
S Frenchys Cove,2014-11-03,17.8
S Frenchys Cove,2015-11-11,10.8
Scorpion Rock,2003-01-31,27
Scorpion Rock,2003-05-22,26
Scorpion Rock,2003-12-19,26
Scorpion Rock,2004-03-16,21.5
Scorpion Rock,2005-01-08,34
Scorpion Rock,2005-04-19,23.4
Scorpion Rock,2006-03-25,27.8
Scorpion Rock,2007-03-14,24.6
Scorpion Rock,2008-03-06,11.4
Scorpion Rock,2008-11-25,9.8
Scorpion Rock,2009-12-01,8.6
Scorpion Rock,2010-03-28,8.8
Scorpion Rock,2010-12-03,15
Scorpion Rock,2011-11-22,13.4
Scorpion Rock,2012-10-28,25.2
Scorpion Rock,2013-04-19,23.6
Scorpion Rock,2013-12-13,46.2
Scorpion Rock,2014-04-23,36.8
Scorpion Rock,2014-12-19,33.4
Scorpion Rock,2015-10-25,33.4
Sea Lion Rookery,2002-11-20,11
Sea Lion Rookery,2003-10-25,8.4
Sea Lion Rookery,2004-11-11,7
Sea Lion Rookery,2006-11-04,13.4
Sea Lion Rookery,2007-10-26,4.4
Sea Lion Rookery,2008-10-16,9.2
Sea Lion Rookery,2009-10-16,3.6
Sea Lion Rookery,2010-10-07,12.2
Sea Lion Rookery,2011-10-24,8
Sea Lion Rookery,2012-11-13,2.8
Sea Lion Rookery,2013-10-19,7.8
Sea Lion Rookery,2015-01-29,5.8
Trailer,2002-11-02,52.2
Trailer,2003-03-25,49
Trailer,2003-12-09,55.2
Trailer,2004-04-01,62.2
Trailer,2004-11-13,53.8
Trailer,2005-03-09,61
Trailer,2005-10-15,74
Trailer,2006-12-19,75.6
Trailer,2007-03-27,58.4
Trailer,2008-03-19,53.2
Trailer,2008-12-11,41
Trailer,2009-04-27,42.4
Trailer,2009-11-04,37.6
Trailer,2010-03-26,55.6
Trailer,2010-11-18,63
Trailer,2012-01-08,46
Trailer,2012-05-09,29.8
Trailer,2012-12-10,35.6
Trailer,2013-03-24,30.2
Trailer,2013-11-01,63.6
Trailer,2014-04-08,67.6
Trailer,2014-11-22,70.6
Trailer,2016-01-22,49.6
CINMS,2002-06-15,40.56
CINMS,2003-06-15,35.479738562091505
CINMS,2004-06-15,34.75079365079365
CINMS,2005-06-15,42.63472222222222
CINMS,2006-06-15,50.385858585858585
CINMS,2007-06-15,46.67863247863248
CINMS,2008-06-15,37.90833333333333
CINMS,2009-06-15,31.209722222222222
CINMS,2010-06-15,35.14370370370371
CINMS,2011-06-15,32.361111111111114
CINMS,2012-06-15,24.877777777777776
CINMS,2013-06-15,26.729166666666668
CINMS,2014-06-15,41.44761904761905
CINMS,2015-06-15,15.566666666666666
CINMS,2016-06-15,40.7
