site,date,pct_cover
Andrew Molera,2002-11-19T00:00:00Z,83
Andrew Molera,2003-03-25T00:00:00Z,85.6
Andrew Molera,2003-11-24T00:00:00Z,84.4
Andrew Molera,2004-03-18T00:00:00Z,85
Andrew Molera,2004-10-26T00:00:00Z,83.4
Andrew Molera,2005-03-09T00:00:00Z,84.4
Andrew Molera,2005-11-17T00:00:00Z,83.4
Andrew Molera,2006-03-27T00:00:00Z,85.8
Andrew Molera,2006-11-03T00:00:00Z,87
Andrew Molera,2007-04-22T00:00:00Z,87.4
Andrew Molera,2007-11-25T00:00:00Z,84.6
Andrew Molera,2008-03-06T00:00:00Z,68.2
Andrew Molera,2008-10-16T00:00:00Z,69.6
Andrew Molera,2009-03-09T00:00:00Z,72.6
Andrew Molera,2009-11-17T00:00:00Z,69.2
Andrew Molera,2010-04-19T00:00:00Z,68
Andrew Molera,2010-11-21T00:00:00Z,70.4
Andrew Molera,2011-04-21T00:00:00Z,72.4
Andrew Molera,2011-11-23T00:00:00Z,69.2
Andrew Molera,2012-11-28T00:00:00Z,70
Andrew Molera,2013-11-02T00:00:00Z,73.6
Andrew Molera,2014-11-08T00:00:00Z,76
Andrew Molera,2015-10-28T00:00:00Z,79.6
Andrew Molera,2016-11-13T00:00:00Z,85
China Rocks,2007-11-09T00:00:00Z,91.2
China Rocks,2008-04-10T00:00:00Z,96.6
China Rocks,2009-05-01T00:00:00Z,90.8
China Rocks,2011-10-27T00:00:00Z,77.8
Garrapata,2007-11-10T00:00:00Z,77
Garrapata,2008-04-08T00:00:00Z,70
Garrapata,2009-04-29T00:00:00Z,54.8
Garrapata,2011-10-28T00:00:00Z,47.6
Hopkins,2002-11-05T00:00:00Z,90.2
Hopkins,2003-03-21T00:00:00Z,87.4
Hopkins,2003-10-26T00:00:00Z,91.8
Hopkins,2004-03-19T00:00:00Z,90
Hopkins,2004-10-14T00:00:00Z,82.6
Hopkins,2005-03-07T00:00:00Z,86.4
Hopkins,2005-11-14T00:00:00Z,78.8
Hopkins,2006-04-18T00:00:00Z,83
Hopkins,2006-10-07T00:00:00Z,85.6
Hopkins,2007-03-16T00:00:00Z,87
