target_assemblage,n
balanus,13610
chthamalus_balanus,51881
endocladia,26050
fucus,5568
hesperophycus,6190
mastocarpus,29780
mazzaella,5696
mytilus,41750
pelvetiopsis,2541
phyllospadix,8666
silvetia,37675
