species_code,target_assemblage,n_rows
ASTSER,sea_star,165
DERIMB,sea_star,198
EVATRO,sea_star,156
HENSPP,sea_star,387
KATTUN,sea_star,679
LEPTAS,sea_star,430
ORTKOE,sea_star,3
PATMIN,sea_star,674
PISBRE,sea_star,130
PISGIG,sea_star,653
PISOCH,sea_star,2415
PYCHEL,sea_star,347
STRFRA,sea_star,149
STRPUR,sea_star,151
UNIDEN,sea_star,2
