site,date,pct_cover
Andrew Molera,2002-11-19,83
Andrew Molera,2003-03-25,85.6
Andrew Molera,2003-11-24,84.4
Andrew Molera,2004-03-18,85
Andrew Molera,2004-10-26,83.4
Andrew Molera,2005-03-09,84.4
Andrew Molera,2005-11-17,83.4
Andrew Molera,2006-03-27,85.8
Andrew Molera,2006-11-03,87
Andrew Molera,2007-04-22,87.4
Andrew Molera,2007-11-25,84.6
Andrew Molera,2008-03-06,68.2
Andrew Molera,2008-10-16,69.6
Andrew Molera,2009-03-09,72.6
Andrew Molera,2009-11-17,69.2
Andrew Molera,2010-04-19,68
Andrew Molera,2010-11-21,70.4
Andrew Molera,2011-04-21,72.4
Andrew Molera,2011-11-23,69.2
Andrew Molera,2012-11-28,70
Andrew Molera,2013-11-02,73.6
Andrew Molera,2014-11-08,76
Andrew Molera,2015-10-28,79.6
Andrew Molera,2016-11-13,85
China Rocks,2007-11-09,91.2
China Rocks,2008-04-10,96.6
China Rocks,2009-05-01,90.8
China Rocks,2011-10-27,77.8
Garrapata,2007-11-10,77
Garrapata,2008-04-08,70
Garrapata,2009-04-29,54.8
Garrapata,2011-10-28,47.6
Hopkins,2002-11-05,90.2
Hopkins,2003-03-21,87.4
Hopkins,2003-10-26,91.8
Hopkins,2004-03-19,90
Hopkins,2004-10-14,82.6
Hopkins,2005-03-07,86.4
Hopkins,2005-11-14,78.8
Hopkins,2006-04-18,83
Hopkins,2006-10-07,85.6
Hopkins,2007-03-16,87
Hopkins,2007-10-26,85.4
Hopkins,2008-03-04,88
Hopkins,2008-10-15,90.6
Hopkins,2009-03-06,88.2
Hopkins,2009-11-03,92
Hopkins,2010-03-25,81.2
Hopkins,2010-11-20,82.8
Hopkins,2011-04-18,83.6
Hopkins,2011-10-26,83.8
Hopkins,2012-10-16,94.2
Hopkins,2013-10-18,93.8
Hopkins,2014-11-09,94.8
Hopkins,2015-10-25,90
Hopkins,2016-11-12,87.4
Mill Creek,2002-12-05,72.6
Mill Creek,2003-04-19,75.6
Mill Creek,2003-11-22,66.2
Mill Creek,2004-04-09,58.6
Mill Creek,2004-11-12,53.2
Mill Creek,2005-04-27,71.6
Mill Creek,2005-11-15,79.6
Mill Creek,2006-03-25,85.6
Mill Creek,2006-11-04,93.8
Mill Creek,2007-04-20,94.8
Mill Creek,2008-04-09,83.6
Mill Creek,2008-11-12,60.2
Mill Creek,2009-03-07,47.2
Mill Creek,2009-11-15,26.4
Mill Creek,2010-04-17,19.6
Mill Creek,2010-11-05,12
Mill Creek,2011-04-20,14.8
Mill Creek,2011-11-24,26
Mill Creek,2012-11-27,48
Mill Creek,2013-11-17,54.2
Mill Creek,2014-11-07,61.4
Mill Creek,2015-10-27,74.2
Mill Creek,2016-11-14,76.6
Natural Bridges,2007-10-10,95.8
Natural Bridges,2008-03-10,98.4
Natural Bridges,2009-04-02,95.6
Natural Bridges,2011-10-24,95.6
Piedras Blancas,2007-09-29,93.2
Piedras Blancas,2008-04-06,88.6
Piedras Blancas,2009-04-27,75.8
Piedras Blancas,2011-10-28,74.6
Point Pinos,2007-11-07,95.4
Point Pinos,2008-04-09,97.4
Point Pinos,2009-04-30,94.4
Point Pinos,2011-10-26,91.6
Point Sierra Nevada,2002-11-04,77.8
Point Sierra Nevada,2003-03-01,87.8
Point Sierra Nevada,2003-10-25,88.2
Point Sierra Nevada,2004-03-04,86.2
Point Sierra Nevada,2004-11-11,86.4
Point Sierra Nevada,2005-03-08,88.4
Point Sierra Nevada,2005-11-14,91
Point Sierra Nevada,2006-03-10,90
Point Sierra Nevada,2006-11-07,93.6
Point Sierra Nevada,2007-03-16,90.8
Point Sierra Nevada,2007-10-26,94.4
Point Sierra Nevada,2008-03-17,87
Point Sierra Nevada,2008-11-15,83
Point Sierra Nevada,2009-03-08,82.2
Point Sierra Nevada,2009-11-04,80.8
Point Sierra Nevada,2010-03-26,78.2
Point Sierra Nevada,2010-11-05,80.2
Point Sierra Nevada,2011-04-20,79.6
Point Sierra Nevada,2011-10-28,79.8
Point Sierra Nevada,2012-04-09,79.8
Point Sierra Nevada,2012-10-16,78.4
Point Sierra Nevada,2013-04-27,78
Point Sierra Nevada,2013-11-04,74.8
Point Sierra Nevada,2014-04-17,72.6
Point Sierra Nevada,2014-11-22,72.8
Point Sierra Nevada,2015-04-20,74.4
Point Sierra Nevada,2015-10-27,74.4
Point Sierra Nevada,2016-10-17,76.4
San Simeon Point,2007-09-27,70.6
San Simeon Point,2008-04-06,71.4
San Simeon Point,2009-04-26,67.6
San Simeon Point,2011-11-22,67.2
Slide Ranch,2006-07-13,86.2
Slide Ranch,2007-06-04,92
Slide Ranch,2008-06-05,91.8
Slide Ranch,2009-06-24,92.4
Slide Ranch,2010-06-14,94.8
Slide Ranch,2011-06-17,95.6
Slide Ranch,2012-06-05,94.8
Slide Ranch,2013-06-24,93.2
Slide Ranch,2014-06-16,95
Slide Ranch,2015-06-04,98.2
Slide Ranch,2016-06-06,68.2
Stillwater,2002-11-06,88.2
Stillwater,2003-03-11,87
Stillwater,2003-10-27,90
Stillwater,2004-03-16,87.8
Stillwater,2004-10-27,83.4
Stillwater,2005-04-05,83.6
