site,date,pct_cover
Stillwater,2005-11-02,82.4
Stillwater,2006-03-28,88
Stillwater,2006-10-09,86.2
Stillwater,2007-04-23,87.4
Stillwater,2007-12-20,81
Stillwater,2008-03-05,71.4
Stillwater,2008-10-14,65.4
Stillwater,2009-03-10,68
Stillwater,2009-11-02,60.6
Stillwater,2010-04-20,66.8
Stillwater,2010-11-06,65.6
Stillwater,2011-03-23,67.8
Stillwater,2011-10-27,70.4
Stillwater,2012-10-15,82
Stillwater,2013-11-04,81.8
Stillwater,2014-11-05,88
Stillwater,2015-10-26,91.2
Stillwater,2016-11-15,91.2
Terrace Point,2002-11-18,89.6
Terrace Point,2003-03-16,84.8
Terrace Point,2003-11-25,87.6
Terrace Point,2004-03-14,87.8
Terrace Point,2004-10-16,90.6
Terrace Point,2005-03-08,92.2
Terrace Point,2005-10-18,95.2
Terrace Point,2006-04-20,96.6
Terrace Point,2006-10-08,98.4
Terrace Point,2007-03-17,98.6
Terrace Point,2007-10-27,98.2
Terrace Point,2008-03-03,97.6
Terrace Point,2008-10-17,96.6
Terrace Point,2009-03-11,98.2
Terrace Point,2009-11-04,96.4
Terrace Point,2010-03-24,97.2
Terrace Point,2010-10-23,98.8
Terrace Point,2011-03-15,98.4
Terrace Point,2011-10-29,99.2
Terrace Point,2012-10-13,97.2
Terrace Point,2013-10-20,98.2
Terrace Point,2014-10-09,97
Terrace Point,2015-11-11,98.2
Terrace Point,2016-10-17,74.6
Vista del Mar,2007-09-28,96.4
Vista del Mar,2008-03-16,78.2
Vista del Mar,2009-04-25,75.2
Vista del Mar,2011-11-24,44.8
Wilder Ranch,2007-10-11,93.8
Wilder Ranch,2008-04-22,94.6
Wilder Ranch,2009-04-03,94.6
Wilder Ranch,2011-10-25,92.6
MBNMS,2002-06-15,83.56666666666666
MBNMS,2003-06-15,84.7
MBNMS,2004-06-15,81.25
MBNMS,2005-06-15,84.75
MBNMS,2006-06-15,89.21538461538461
MBNMS,2007-06-15,89.75
MBNMS,2008-06-15,83.24761904761905
MBNMS,2009-06-15,77.28571428571429
MBNMS,2010-06-15,70.43076923076923
MBNMS,2011-06-15,72.97142857142858
MBNMS,2012-06-15,80.55
MBNMS,2013-06-15,80.95
MBNMS,2014-06-15,82.2
MBNMS,2015-06-15,85.025
MBNMS,2016-06-15,79.91428571428571
