svg_id,plot_title,plot_caption,nms,sp,sp_name,d_csv
barnacles,Barnacles (% Cover),prep/plot_caption/MARINe.md,MBNMS,MYTCAL,California Mussels,data/sanctuary_species_percentcover.csv
mussels,Mussels (% Cover),prep/plot_caption/MARINe.md,MBNMS,CHTBAL,Acorn Barnacles,data/sanctuary_species_percentcover.csv
